Source,Text,URL,Favorites,Retweets
Ultima Hora,Fiscala Agüero renuncia a asociación de magistrados https://t.co/ReMXQSpyPF https://t.co/kbLclvgqwZ,http://www.twitter.com/UltimaHoracom/status/730763567788634112,5,6
Ultima Hora,El Ejecutivo invertirá USD 70 millones para 1.000 escuelas ¿Qué opinas? https://t.co/x36DruXWpN https://t.co/pbhxLaO00v,http://www.twitter.com/UltimaHoracom/status/730760134390108160,9,11
Ultima Hora,Cerrarán un tramo de Mariscal López por obras sanitarias https://t.co/kyiNm6e1Hp https://t.co/Ig3HngFF49,http://www.twitter.com/UltimaHoracom/status/730757291427909633,0,13
Ultima Hora,Iglesia aguarda orden para denunciar curas https://t.co/IfCSguqc6w https://t.co/6idySMQZDc,http://www.twitter.com/UltimaHoracom/status/730754244568088576,4,8
Ultima Hora,[ESPECTÁCULOS] Emma Watson en los Papeles de Panamá https://t.co/dGBmMYHjUf https://t.co/3A7gyiqqFS,http://www.twitter.com/UltimaHoracom/status/730750873802956802,13,24
Ultima Hora,Levantan toma de colegio pero siguen los incidentes https://t.co/Fzc7BvcQdV https://t.co/RSYnO5pg3H,http://www.twitter.com/UltimaHoracom/status/730748816115138561,2,1
Ultima Hora,[MUNDO] De la conspiración entre bastidores a la Presidencia https://t.co/Vz3gL5aUqu https://t.co/h86ZouicGO,http://www.twitter.com/UltimaHoracom/status/730746192498397184,4,7
Ultima Hora,Continuidad en la toma de colegios tendría trasfondo sindical https://t.co/s9wNGtlGtp https://t.co/1TL8Cv4Y5w,http://www.twitter.com/UltimaHoracom/status/730744064937762816,5,3
Ultima Hora,Estudiantes del Colegio Nacional de Fernando con posturas enfrentadas https://t.co/vSPKLtPNiH https://t.co/wy60Pks55d,http://www.twitter.com/UltimaHoracom/status/730741730186760192,3,2
Ultima Hora,Comisaría acoge a mono que destechaba casas https://t.co/aniiTD7JZx https://t.co/6y81vF465t,http://www.twitter.com/UltimaHoracom/status/730739638344749056,17,25
Ultima Hora,[AHORA] Estudiantes del Col. Fdo. de la Mora se reúnen en asamblea para votar si levantan o no la toma de colegio.,http://www.twitter.com/UltimaHoracom/status/730737895720534016,4,5
Ultima Hora,Franco se defiende y tira el fardo a sus ex colaboradores https://t.co/PijCcGZGfv https://t.co/jxVVSuUuW3,http://www.twitter.com/UltimaHoracom/status/730736045378142209,1,1
Ultima Hora,Un sector del colegio Fernando de la Mora se resiste a volver a clases https://t.co/vSPKLtPNiH https://t.co/YttxdHAnhl,http://www.twitter.com/UltimaHoracom/status/730732738446266368,2,5
Ultima Hora,Los próximos pasos del proceso que podrían llevar a la destitución de Rousseff https://t.co/kHdT40naaV https://t.co/s92qeWCyld,http://www.twitter.com/UltimaHoracom/status/730730097150459905,10,10
Ultima Hora,Audio salpica a diputados en negocio de pozos del Indert https://t.co/PHGGEiCdcJ https://t.co/eakNBxUz0n,http://www.twitter.com/UltimaHoracom/status/730725408224727041,5,4
Ultima Hora,Vehículo vuelca en Mariscal López https://t.co/x9c3yz8h3Z https://t.co/YlQEHbJY1q,http://www.twitter.com/UltimaHoracom/status/730721776142065664,7,20
Ultima Hora,Camión vuelca en Campo Grande generando un caos vehicular en la zona https://t.co/lY1FgL1iBD https://t.co/4FMTVAWrXp,http://www.twitter.com/UltimaHoracom/status/730717576234467328,5,19
Ultima Hora,[EDITORIAL] El logro de los estudiantes abre camino a una mejor educación https://t.co/dotVd0Kgn7 https://t.co/5TRnmNthrx,http://www.twitter.com/UltimaHoracom/status/730713467687178241,22,22
Ultima Hora,[ESTA MADRUGADA] El Senado aparta del cargo a Dilma Rousseff https://t.co/KFsKAIorBp https://t.co/VIRkVUAPAr,http://www.twitter.com/UltimaHoracom/status/730709037411651588,4,16
Ultima Hora,16.000 argentinos ingresaron desde Posadas para comprar https://t.co/FEq8zMAkIc https://t.co/Yeqq6QWz2o,http://www.twitter.com/UltimaHoracom/status/730707377083797504,9,12
Ultima Hora,Meteorología pronostica jueves fresco a cálido e inestable https://t.co/ybM9IdZdUy,http://www.twitter.com/UltimaHoracom/status/730697761721483265,4,7
Ultima Hora,¡Buenos días! Ésta es la portada #UHPy de este jueves con los siguientes títulos principales: https://t.co/o5Ywqg3peO,http://www.twitter.com/UltimaHoracom/status/730684138361999362,25,25
Ultima Hora,#ETC ¿Qué tipo de madre tenés? Descubrilo con nuestra trivia: https://t.co/CgtUzLTwUs https://t.co/GfNH383pee,http://www.twitter.com/UltimaHoracom/status/730629793012682752,2,0
Ultima Hora,[MUNDO] Maduro pide confianza y asegura que su gobierno no podrá ser revocado https://t.co/lWmoCiDlr3 https://t.co/pZr58O8Cju,http://www.twitter.com/UltimaHoracom/status/730627047039631362,1,0
Ultima Hora,Llamativa presencia de gerentes de Cartes en firma de acuerdo con estudiantes  https://t.co/yPT6ObIIoC https://t.co/uUXjWkI7Mi,http://www.twitter.com/UltimaHoracom/status/730623521425137664,9,8
Ultima Hora,#GaleríaUH Fotos del día: 11 de mayo de 2016 https://t.co/XCAHZJXgZD https://t.co/HVObadjkNG,http://www.twitter.com/UltimaHoracom/status/730620591951237120,5,7
Ultima Hora,#LoMásLeído Estudiantes celebran logros removiendo una placa stronista https://t.co/yL2urfu1ip https://t.co/jSwG24221Z,http://www.twitter.com/UltimaHoracom/status/730617414015156224,21,10
