source,created_time,text,url,likes,shares,comments
5 dias,2016-05-12T13:02:18+0000,"Temer, el político discreto que quiso llegar a lo más alto - Diario 5diasEl ‘número dos’ de Rousseff prepara un Gabinete liberal en lo económico",www.facebook.com/182736288436188_1103438086365999,1,0,0
5 dias,2016-05-12T12:56:30+0000,"Maestras desmienten declaraciones y reafirman su cariño por el Paraguay - Diario 5dias Maestras comentaron que las entrevistas telefónicas surgieron a modo personal, luego del incendió que afecto a la institución tiempo atrás, y que el fin de las mismas era compartir relatos de la vida de un docente trabajando fuera de su país.Ante la publicación de un artículo periodístico realizado a docentes uruguayas que residen y ejercen su profesión en el país, conversaron con el diario 5días, a fin de desmentir parte del contenido seleccionado que les ha generado un profundo daño y expresar su indignación.",www.facebook.com/182736288436188_1103435499699591,1,3,0
5 dias,2016-05-12T12:55:31+0000,"La Ley de tarjetas espera dictamen - Diario 5dias El tratamiento del tema depende de diputadosEl proyecto de modificación de la ley que fija topes a las tasas de interés de las tarjetas de crédito fue el tema central de la Comisión de Asuntos Constitucionales, que preside el diputado Ramón Romero Roa. En la reunión de ayer estuvieron representantes del Banco Central del Paraguay (BCP), de la...",www.facebook.com/182736288436188_1103435119699629,5,6,0
5 dias,2016-05-12T12:49:32+0000,"Parque de Nieve en CDE genera gran expectativa - Diario 5dias¿Te gusta el frío? Ya tenés dónde estar en pleno día soleado. Ciudad del Este habilitará un increíble parque temático de hielo. Con una inversión aproxi­mada a los US$ 4 millones y 3.000 m², el Snow Park (Parque de Nieve) marca­rá un hito en el país con sus heladas instalaciones en el Shopping París...",www.facebook.com/182736288436188_1103430003033474,131,78,9
5 dias,2016-05-12T12:48:22+0000,"Brasil: aprobaron el impeachment contra Dilma y mercados espera cambios económicos - Diario 5dias http://www.5dias.com.py/46432-brasil-aprobaron-el-impeachment-contra-dilma-y-mercados-espera-cambios-economicosEl debate en el Congreso se extendió hasta la madrugada. El proceso durará 180 días. La destitución se aprobó con 55 votos a favor y 22 en contra. Ya con 41 votos, la mandataria quedaba suspendida de su cargo. El vicepresidente Michel Temer asumirá como presidente interino.",www.facebook.com/182736288436188_1103429549700186,4,5,0
5 dias,2016-05-12T12:43:20+0000,"Un lugar de recreación nocturna con la esencia y estilo oriental - Diario 5dias http://www.5dias.com.py/46431-un-lugar-de-recreacion-nocturna-con-la-esencia-y-estilo-orientalBambuddha Bar se encuentra presente hace varios años y, según comenta el gerente de dicho emprendimiento, Juan Racca, nace con el objetivo de brindar diversión a las personas que salen a despejarse, ya sea los fines de semana o después del trabajo.",www.facebook.com/182736288436188_1103427549700386,2,3,0
5 dias,2016-05-12T12:41:58+0000,"Seminario motivacional para mujeres ejecutivas - Diario 5dias http://www.5dias.com.py/46426-seminario-motivacional-para-mujeres-ejecutivas“Tomate un café contigo misma es tomate un descanso para ti, como una se siente en todas las áreas de su vida"".",www.facebook.com/182736288436188_1103427139700427,15,8,1
5 dias,2016-05-12T12:41:23+0000,"Precios de hoteles se disparan por la final de la Champions - Diario 5dias http://www.5dias.com.py/46420-precios-de-hoteles-se-disparan-por-la-final-de-la-championsLa ocupación de hoteles ya es del 94% para la final en el estadio de San Siro, según un análisis de Trivago. En cuanto a la disponibilidad, solo el 6% de hoteles ofrece habitaciones libres a través de Internet. Para la noche del 27 la disponibilidad es del 13%.",www.facebook.com/182736288436188_1103426926367115,8,3,0
5 dias,2016-05-12T12:34:59+0000,‘‘La Niña’’ podría agravar difícil coyuntura económica que vive la región - Diario 5dias ‘‘La Niña’’ podría agravar difícil coyuntura económica que vive la región http://www.5dias.com.py/46416-la-nina-podria-agravar-dificil-coyuntura-economica-que-vive-la-regionEl último informe de Itaú Macro Latam para el Paraguay indica que la economía del país se desacelera y esta situación podría agravarse si el fenómeno climático “La Niña” se materializa.,www.facebook.com/182736288436188_1103424863033988,16,13,0
5 dias,2016-05-12T12:34:22+0000,"Política de reducción de la pobreza arrojó mustio resultado - Diario 5dias Política de reducción de la pobreza arrojó mustio resultado http://www.5dias.com.py/46429-politica-de-reduccion-de-la-pobreza-arrojo-mustio-resultadoEl informe de pobreza presentado por la STP en las últimas semanas propone números que requieren de un análisis más incisivo que nos ex­plique, por ejemplo, que por cada pobre y pobre extremo el Estado invir­tió US$ 434 mensuales mediante transferencias monetarias con corres­ponsabilidad del progra­...",www.facebook.com/182736288436188_1103424639700677,2,3,0
5 dias,2016-05-12T12:34:18+0000,"Brasil: aprobaron el impeachment contra Dilma y mercados espera cambios económicos - Diario 5diasEl debate en el Congreso se extendió hasta la madrugada. El proceso durará 180 días. La destitución se aprobó con 55 votos a favor y 22 en contra. Ya con 41 votos, la mandataria quedaba suspendida de su cargo. El vicepresidente Michel Temer asumirá como presidente interino.",www.facebook.com/182736288436188_1103424623034012,0,0,0
5 dias,2016-05-12T12:33:32+0000,5días Especialista analiza aspectos incidentes en la estabilidad de la economía nacional,www.facebook.com/182736288436188_1103424309700710,0,2,0
5 dias,2016-05-12T12:31:10+0000,"Trabajo y alcohol: Si vino, se va - Diario 5dias En Paraguay está expresamente prohibido y es causal de despido justificado por parte del empleador, presentarse en el lugar de trabajo en estado de embriaguez o bajo el efecto de alguna droga o narcótico.Bebemos para festejar, para penar y por las dudas. No hay despedida, ni cita, ni cena, ni cuento bien contado, que no “exija” una copita. Asados, inauguraciones y almuerzos de negocios, de camaradería o familiares son ocasión, e incluso excusa, para “tomar algo”.",www.facebook.com/182736288436188_1103423429700798,12,9,1
5 dias,2016-05-12T12:21:44+0000,"Estudiantes de la FCE irán a West Virginia University - Diario 5dias http://www.5dias.com.py/46425-estudiantes-de-la-fce-iran-a-west-virginia-universityLa segunda etapa del proyecto “Emprendimientos Innovadores para la Movilidad Estudiantil en las Américas, 100.000 Strong’’ ha seleccionado un total de 6 estudiantes titulares para realizar el intercambio con la West Virginia University (WVU). Los mismos partirán rumbo a Estados Unidos el lunes 16 de...",www.facebook.com/182736288436188_1103419506367857,59,21,2
5 dias,2016-05-12T12:18:10+0000,"Feria de empleo para trabajadores informales - Diario 5dias http://www.5dias.com.py/46417-feria-de-empleo-para-trabajadores-informalesEl Ministerio de Trabajo, Empleo y Seguridad Social a través de la Oficina Nacional de Empleo con la Junta Municipal de Asunción organiza para el próximo viernes 13 de mayo, la primera feria de empleos para limpiavidrios y vendedores ambulantes en el Ex Seminario Metropolitano, actividad que arranca...",www.facebook.com/182736288436188_1103417619701379,4,8,1
5 dias,2016-05-12T12:17:20+0000,"Parate económico se refleja en fuerte caída del consumo - Diario 5dias Parate económico se refleja en fuerte caída del consumoLos centros comerciales, concesionarias de vehículos, casas de electrodomésticos, comercios dedicados a la venta de materiales de construcción y la telefonía registraron números rojos en el trimestre. Las familias están priorizando el gasto en lo esencial, es decir, básicamente para alimentación.",www.facebook.com/182736288436188_1103411919701949,1,3,0
